NAME,LATITUDE,LONGITUDE,DATE,PRCP,SNOW,TAVG,TMAX,TMIN
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-09-14,0.00,0.0,74,84,65
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-09-15,0.00,0.0,72,76,61
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-09-16,0.00,0.0,67,78,56
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-09-17,0.00,0.0,69,74,65
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-09-18,0.00,0.0,73,84,67
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-09-19,0.03,0.0,75,85,69
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-09-20,0.00,0.0,74,83,69
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-09-21,0.00,0.0,71,78,62
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-09-22,0.34,0.0,71,81,58
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-09-23,0.00,0.0,60,67,51
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-09-24,0.00,0.0,58,72,49
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-09-25,0.31,0.0,66,76,61
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-09-26,0.00,0.0,66,75,59
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-09-27,0.00,0.0,67,72,60
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-09-28,0.00,0.0,63,73,54
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-09-29,0.00,0.0,63,68,56
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-09-30,0.00,0.0,59,64,54
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-10-01,0.89,0.0,58,60,53
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-10-02,0.19,0.0,57,60,50
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-10-03,0.78,0.0,51,52,49
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-10-04,1.38,0.0,50,56,47
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-10-05,0.55,0.0,56,60,55
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-10-06,0.00,0.0,62,76,52
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-10-07,0.00,0.0,65,76,56
